extension\10_em_81	\Delta H I
MfrDB\MfrDB0555	2 + 2 = 4
MfrDB\MfrDB0556	\sqrt 2
MfrDB\MfrDB0574	( 1 + 5 \times 1 2 ) \sqrt
MfrDB\MfrDB0576	x = 4 y + 1 0
MfrDB\MfrDB0580	2 + 4 = 6
MfrDB\MfrDB0582	f ( x ) = y 2 + 1
MfrDB\MfrDB0587	4 + 4
MfrDB\MfrDB0594	x = y 2
MfrDB\MfrDB0596	y = x 2 - 3
MfrDB\MfrDB0603	2 + 2
MfrDB\MfrDB0604	1 + 2 - 3
MfrDB\MfrDB0605	1 3 + 4 ( ) x + y
MfrDB\MfrDB0611	y = x 2
MfrDB\MfrDB0633	2 \times 2 8
MfrDB\MfrDB0637	x 2
MfrDB\MfrDB0639	x 2 + 3 m = 3 i
MfrDB\MfrDB0643	y = x 2
MfrDB\MfrDB0647	y = x + 1
MfrDB\MfrDB0656	x 4 = - 2 0
MfrDB\MfrDB0657	\int x 5 d x
MfrDB\MfrDB0666	x = \sum a + \sum b
MfrDB\MfrDB0673	E = m c 2
MfrDB\MfrDB0683	y = m x + b
MfrDB\MfrDB0686	2 + 3 = 5
MfrDB\MfrDB0687	y = 1 5 x + 7
MfrDB\MfrDB0691	\sin x ( ) - \cos ( x )
MfrDB\MfrDB0692	4 + 3
MfrDB\MfrDB0699	1 + 1 = 2
MfrDB\MfrDB0701	2 + 2 = 5
MfrDB\MfrDB0707	1 + 1
MfrDB\MfrDB0721	x = 1
MfrDB\MfrDB0722	e i \pi
MfrDB\MfrDB0724	1 + 1 = 3
MfrDB\MfrDB0729	f ( x ) = x 2
MfrDB\MfrDB0731	x 2
MfrDB\MfrDB0732	y = x + 1
MfrDB\MfrDB0742	3 \times 3
MfrDB\MfrDB0755	E = m c 2
MfrDB\MfrDB0757	x + 2 = 1 0
MfrDB\MfrDB0786	f ( x ) = 1
MfrDB\MfrDB0804	2 + 3 + 4 + 5 ( ) / 2 0
MfrDB\MfrDB0807	e = m c 2
MfrDB\MfrDB0808	\pi i = p ( x , i ) \int d x 0 \infty
MfrDB\MfrDB0822	C = M / 2 E
MfrDB\MfrDB0861	1 + 1 = 2
MfrDB\MfrDB0866	x = 1 3
MfrDB\MfrDB0868	x = y \times p
MfrDB\MfrDB0870	3 2 - x = 1 6 \sqrt
MfrDB\MfrDB0892	a = b + 1
MfrDB\MfrDB0896	1 + 2
MfrDB\MfrDB0899	x = y + 2
MfrDB\MfrDB0911	5 + 5
MfrDB\MfrDB0912	\sqrt 5
MfrDB\MfrDB0914	E = m c 2
MfrDB\MfrDB0916	3 + 3
MfrDB\MfrDB0922	2 + 2
MfrDB\MfrDB0944	1 + 1 = 2
MfrDB\MfrDB0945	1 = 2 - 1
MfrDB\MfrDB0948	1 + 2
MfrDB\MfrDB0972	2 \times 2
MfrDB\MfrDB0979	4 \pi r 2
MfrDB\MfrDB0982	i 2 = x
MfrDB\MfrDB0987	X = 1 + 4
MfrDB\MfrDB0992	1 + 6
MfrDB\MfrDB1001	c = 1 0
MfrDB\MfrDB1005	x = 2
MfrDB\MfrDB1008	e = m c 2
MfrDB\MfrDB1010	2 + 2
MfrDB\MfrDB1011	x = y 2
MfrDB\MfrDB1015	a + b ( ) 2 = a 2 + b 2 + 2 a b
MfrDB\MfrDB1021	V = E - T
MfrDB\MfrDB1023	x + y = 4 + y
MfrDB\MfrDB1040	a + b i = x
MfrDB\MfrDB1044	2 + 3
MfrDB\MfrDB1045	2 + 3
MfrDB\MfrDB1052	5 + 5
MfrDB\MfrDB1064	1 + 2
MfrDB\MfrDB1065	1 + 2
MfrDB\MfrDB1067	\sqrt 4 = 2
MfrDB\MfrDB1068	( a + b ) 2 = a 2 + 2 a b + b 2
MfrDB\MfrDB1070	e 5
MfrDB\MfrDB1076	3 + 3 = 6
MfrDB\MfrDB1079	1 + 1 = 2
MfrDB\MfrDB1080	1 + x - x 2
MfrDB\MfrDB1083	1 + 2 = 3
MfrDB\MfrDB1088	a 2 + b 2 = c 2
MfrDB\MfrDB1094	f = x 2 ( x )
MfrDB\MfrDB1095	A = x + 1
MfrDB\MfrDB1099	3 + 1 = 4
MfrDB\MfrDB1106	2 + 1
MfrDB\MfrDB1107	x + y = 1 6
MfrDB\MfrDB1111	x = y 2
MfrDB\MfrDB1124	1 - x + \int 0 \infty 1 - x d x
MfrDB\MfrDB1125	\sum k = 0 1 2 7 ( k + 2 k 2 )
MfrDB\MfrDB1126	\sqrt n - 1 - n - 2 \sqrt 3
MfrDB\MfrDB1127	x = \sin ( \alpha - 2 )
MfrDB\MfrDB1132	h = 1 - 2 g t 2
MfrDB\MfrDB1135	5 + 7 = x
MfrDB\MfrDB1136	y = - a \pm \sqrt b 2 - 4 a c - 2 a
MfrDB\MfrDB1141	2 x + 1 = 3
MfrDB\MfrDB1142	1 + 1 = 2
MfrDB\MfrDB1150	x + y = 1 2
MfrDB\MfrDB1169	x 2 + 2 x + 1 = 0
MfrDB\MfrDB1170	3 x 2 + 5 x + 3 = 0
MfrDB\MfrDB1174	x + y = 3
MfrDB\MfrDB1176	1 + 2
MfrDB\MfrDB1178	\alpha + \beta = \pi
MfrDB\MfrDB1187	+ 1 1 = 2
MfrDB\MfrDB1198	t = n + 3 2
MfrDB\MfrDB1199	2 + 5
MfrDB\MfrDB1200	Y = A X 2
MfrDB\MfrDB1206	4 + 3
MfrDB\MfrDB1214	\sum \infty i = 1 1 - e i
MfrDB\MfrDB1221	2 + 2 = 4
MfrDB\MfrDB1228	e i \pi 1 = 0 +
MfrDB\MfrDB1229	\sqrt 5 5 5
MfrDB\MfrDB1230	a 1 + a 2
MfrDB\MfrDB1231	2 5 - 3 + 1
MfrDB\MfrDB1232	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1233	V = a . b . c
MfrDB\MfrDB1234	3 2 - 1 = 8
MfrDB\MfrDB1235	x y - y x
MfrDB\MfrDB1236	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1237	( 1 2 - x ) 2
MfrDB\MfrDB1238	( a ) - 1 - 1
MfrDB\MfrDB1239	5 - x + 1 + - 5 x 2 + x
MfrDB\MfrDB1240	b - a 2 - a - - b a - 1
MfrDB\MfrDB1241	x 4 - 2 3 - ( - 2 x ) - 4
MfrDB\MfrDB1242	( y 4 - 1 ) / ( y 2 - 1 )
MfrDB\MfrDB1243	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB1244	5 0 ! . n = 4 8 !
MfrDB\MfrDB1245	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB1247	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1248	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB1249	3 x - 5 \lt - 2
MfrDB\MfrDB1250	\log 5 + \log 4 x = 2
MfrDB\MfrDB1251	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB1252	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB\MfrDB1253	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB1254	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB1255	a n = a 1 . q n - 1
MfrDB\MfrDB1256	s n = \sum k = 1 n a k
MfrDB\MfrDB1257	- z 3 + 2 \sqrt z + 1 \sqrt 3
MfrDB\MfrDB1263	\sum i = 1 n i = 1 - 2 n ( n + 1 )
MfrDB\MfrDB1265	\int 0 \infty \sqrt x e - x d x = 1 - 2 \sqrt \pi
MfrDB\MfrDB1266	\int 0 \infty \sin 2 x - x 2 d x = \pi - 2
MfrDB\MfrDB1268	\int 0 1 - x 3 e x - 1 d x = - \pi 4 1 5
MfrDB\MfrDB1269	\int a b f ( x ) d x = F ( b ) - F ( a )
MfrDB\MfrDB1270	\int 0 1 \sqrt x d x
MfrDB\MfrDB1271	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB1272	\int \cos t d t = \sin t
MfrDB\MfrDB1273	\int 0 R 2 x - 1 + x 2 d x = \log ( 1 + R 2 )
MfrDB\MfrDB1274	\int 0 1 \int 0 1 x 2 y 2 d x d y
MfrDB\MfrDB1275	\int a a f ( x ) d x = 0
MfrDB\MfrDB1276	\int 0 \infty f ( x ) d x = \lim b \rightarrow \infty \int 0 b f ( x ) d x
MfrDB\MfrDB1278	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB1279	t = - t 0 1 - v 2 - c 2 \sqrt
MfrDB\MfrDB1280	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1283	E k = 1 - 2 m v 1 2 1 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB1285	v = v 0 t - g t 2
MfrDB\MfrDB1287	T 1 2 - T 2 2 = - a 1 3 a 2 3
MfrDB\MfrDB1288	E = E k + E p
MfrDB\MfrDB1289	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB1290	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB1291	\lim x \rightarrow 0 1 - \cos x - x = 0
MfrDB\MfrDB1292	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB1294	\lim n \rightarrow \infty n 2 + 3 n - 2 n 2 + 1 = - 1 2
MfrDB\MfrDB1295	\lim n \rightarrow \infty ( \sqrt + 2 - \sqrt n n ) = 0
MfrDB\MfrDB1296	f ( x , y ) = x - + x y y
MfrDB\MfrDB1297	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB1298	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB1299	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB1301	\sin \pi - 4 = \cos \pi - 4 = \sqrt 2 - 2
MfrDB\MfrDB1302	1 + t g 2 y = 1 - \cos 2 y
MfrDB\MfrDB1303	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB1304	\sin x + \sin y = 2 \sin ( x + y - 2 ) \cos ( x - y - 2 )
MfrDB\MfrDB1305	t g 2 x = 2 . t g x - 1 - t g 2 x
MfrDB\MfrDB1306	\cos 3 y = 1 - 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB1309	\sum m = 0 M \sum n = 0 N a m , n
MfrDB\MfrDB1310	1 - n \sum k = 1 n ( a k ) 2 \sqrt \geq 1 - n \sum k = 1 n a k
MfrDB\MfrDB1315	f ( x ) . h ( x ) = ( x + 1 ) ( 2 x - 3 )
MfrDB\MfrDB1316	A ( x ) = - 1 x + - x 2 1 + B ( x )
MfrDB\MfrDB1317	| a - b | \leq | a - c | + | c - b |
MfrDB\MfrDB1318	| a | - | b | ( ) 2 - | a - b |
MfrDB\MfrDB1319	a x + b \lt c
MfrDB\MfrDB1320	x \lt - c - b a
MfrDB\MfrDB1321	x 2 - x - 6 \lt 0
MfrDB\MfrDB1322	( x + 3 ) ( x - 5 ) - 3 ( x - 1 ) \gt 0
MfrDB\MfrDB1323	\sqrt x 2 = | x |
MfrDB\MfrDB1324	\sqrt x y z = \sqrt x \sqrt y \sqrt z
MfrDB\MfrDB1325	f \prime ( x ) = - 2 \sqrt x 1
MfrDB\MfrDB1326	\sqrt x = 1 0 ( \log x ) / 2
MfrDB\MfrDB1327	a \sqrt = 2 - n \sqrt 4 n a
MfrDB\MfrDB1328	| a + i b | = x 2 + y 2 \sqrt
MfrDB\MfrDB1342	1 + 1 = 2
MfrDB\MfrDB1343	a + 2 b 2 = c 2
MfrDB\MfrDB1350	2 x = y
MfrDB\MfrDB1367	1 + 1
MfrDB\MfrDB1374	2 + 2
MfrDB\MfrDB1380	3 + 2
MfrDB\MfrDB1387	e = m c 2
MfrDB\MfrDB1394	E = m c 2
MfrDB\MfrDB1405	1 - 2 x = 1 0
MfrDB\MfrDB1409	2 + 2 = 4
MfrDB\MfrDB1410	a 2 + b 2 = a + b ) ( 2
MfrDB\MfrDB1413	1 + 1 3 - 7 = x
MfrDB\MfrDB1419	1 + 2 = 3
MfrDB\MfrDB1425	1 + 1 = 2
MfrDB\MfrDB1432	b \pm \sqrt b 2 - 4 a c - 2 a
MfrDB\MfrDB1434	\sqrt 5 5 5
MfrDB\MfrDB1435	1 + 1
MfrDB\MfrDB1436	\sqrt 5 5 5
MfrDB\MfrDB1437	a 1 + a 2
MfrDB\MfrDB1438	2 5 - 3 + 1
MfrDB\MfrDB1439	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1440	V = a . b . c
MfrDB\MfrDB1441	3 2 - 1 = 8
MfrDB\MfrDB1442	x y - y x
MfrDB\MfrDB1443	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1444	1 2 - x ( ) 2
MfrDB\MfrDB1445	a ( ) - 1 - 1
MfrDB\MfrDB1447	b - a 2 - a - b - a - 1
MfrDB\MfrDB1448	x 4 - 2 3 - ( 2 - x ) - 4
MfrDB\MfrDB1449	y 4 ( - 1 ) / ( y 2 - 1 )
MfrDB\MfrDB1450	9 9 x 7 \sqrt - 1 1 x 3
MfrDB\MfrDB1451	5 0 ! . n = 4 8 !
MfrDB\MfrDB1454	y - 3 ( ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1455	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB1456	3 x - 5 \lt - 2
MfrDB\MfrDB1457	\log 5 + \log 4 x = 2
MfrDB\MfrDB1458	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB1459	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB\MfrDB1460	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB1461	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB1462	a n = a 1 . q n - 1
MfrDB\MfrDB1463	S n = \sum = 1 n k a k
MfrDB\MfrDB1464	z 3 + 2 - z \sqrt + 1 \sqrt 3
MfrDB\MfrDB1470	\sum n i = 1 i = 1 - 2 n ( n + 1 )
MfrDB\MfrDB1472	\int 0 \infty x \sqrt e - x d x = 1 - 2 \sqrt \pi
MfrDB\MfrDB1473	\int 0 \infty \sin 2 x - x 2 d x = \pi - 2
MfrDB\MfrDB1475	\int 0 1 x 3 - e x - 1 d x = \pi 4 - 1 5
MfrDB\MfrDB1476	\int a b f ( x ) d x = F ( b ) - F ( a )
MfrDB\MfrDB1477	\int 0 1 \sqrt x d x
MfrDB\MfrDB1478	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB1479	\int \cos t d t \sin = t
MfrDB\MfrDB1480	\int 0 R 2 x d x - 1 + x 2 = \log ( 1 + R 2 )
MfrDB\MfrDB1481	\int 0 1 \int 0 1 x 2 y 2 d x d y
MfrDB\MfrDB1482	\int a a f ( x ) d x = 0
MfrDB\MfrDB1483	\int 0 \infty f ( x ) d x = \lim b \rightarrow \infty \int 0 b f ( x ) d x
MfrDB\MfrDB1485	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB1486	t = t 0 - 1 - v 2 - c 2 \sqrt
MfrDB\MfrDB1487	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1490	E k = 1 - 2 m 1 v 1 2 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB1492	v = v 0 t - g t 2
MfrDB\MfrDB1494	T 1 2 - T 2 2 = a 1 3 - a 2 3
MfrDB\MfrDB1495	E = E k + E p
MfrDB\MfrDB1496	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB1497	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB1498	\lim x \rightarrow 0 1 - \cos x - x = 0
MfrDB\MfrDB1499	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB1501	\lim n \rightarrow \infty n 2 + 3 n - 2 n 2 + 1 = 1 - 2
MfrDB\MfrDB1502	\lim n \rightarrow \infty \sqrt n + 2 - \sqrt n ( ) = 0
MfrDB\MfrDB1503	f ( x , y ) = x - y + x y
MfrDB\MfrDB1504	F ( x , y , z ) = G ( x , y ) + H ( y , z ) = 2 1
MfrDB\MfrDB1505	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB1506	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB1508	\sin \pi - 4 = \cos \pi - 4 = \sqrt 2 - 2
MfrDB\MfrDB1509	1 + t g 2 y = 1 - \cos 2 y
MfrDB\MfrDB1510	| \sin z | = 1 - \cos 2 z \sqrt
MfrDB\MfrDB1511	\sin x + \sin y = 2 \sin x + y - 2 ( ) \cos x - y - 2 ( )
MfrDB\MfrDB1512	t g 2 x = 2 . t g x - 1 - t g 2 x
MfrDB\MfrDB1513	\cos 3 y = 1 - 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB1516	\sum m = 0 M \sum n = 0 N a m , n
MfrDB\MfrDB1517	1 - n \sum k = 1 n ( a k ) 2 \geq 1 - n \sum k = 1 n a k \sqrt
MfrDB\MfrDB1520	\sum i = 0 \infty \sum j = 0 \infty 1 - 1 - a i j ( ) 2
MfrDB\MfrDB1523	A ( x ) = 1 - x + 1 - x 2 + B ( x )
MfrDB\MfrDB1524	| a - b | \leq | a - c | + | c - b |
MfrDB\MfrDB1525	( | a | - b | | ) 2 - | a - b |
MfrDB\MfrDB1526	a x + b \lt c
MfrDB\MfrDB1527	x \lt c - b - a
MfrDB\MfrDB1528	x \lt c - b - a
MfrDB\MfrDB1529	x 2 - x - 6 \lt 0
MfrDB\MfrDB1530	x + 3 ( ) ( x - 5 ) - 3 ( x - 1 \gt 0 )
MfrDB\MfrDB1531	x 2 \sqrt = | x |
MfrDB\MfrDB1532	x y z \sqrt = \sqrt x \sqrt y \sqrt z
MfrDB\MfrDB1533	f \prime ( x ) = 1 - 2 \sqrt x
MfrDB\MfrDB1534	x \sqrt = 1 0 ( \log x ) / 2
MfrDB\MfrDB1535	\sqrt a = 2 - n \sqrt 4 n a
MfrDB\MfrDB1536	| a + i b | = x 2 + y 2 \sqrt
MfrDB\MfrDB1537	\sqrt 5 5 5
MfrDB\MfrDB1538	a 1 + a 2
MfrDB\MfrDB1539	2 5 - 3 + 1
MfrDB\MfrDB1540	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1541	V = a . b . c
MfrDB\MfrDB1542	3 2 - 1 = 8
MfrDB\MfrDB1543	x y - y x
MfrDB\MfrDB1544	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1545	1 2 - x ( ) 2
MfrDB\MfrDB1546	a ( ) - 1 - 1
MfrDB\MfrDB1547	5 - x + 1 + 5 - x 2 + x
MfrDB\MfrDB1548	b - a 2 - a - b - a - 1
MfrDB\MfrDB1549	x 4 - 2 3 - 2 - x ( ) - 4
MfrDB\MfrDB1550	y 4 - 1 ( ) / ( y 2 - 1 )
MfrDB\MfrDB1551	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB1552	5 0 ! . n = 4 8 !
MfrDB\MfrDB1553	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB1555	y - 3 ( ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1556	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB1557	3 x - 5 \lt - 2
MfrDB\MfrDB1558	\log 5 + \log 4 x = 2
MfrDB\MfrDB1559	6 6 . 6 2 = 6 x ( ) 4
MfrDB\MfrDB1560	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB\MfrDB1561	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB1562	a n = a 1 + n - 1 ( ) d
MfrDB\MfrDB1563	a n = a 1 . q n - 1
MfrDB\MfrDB1564	S n = \sum n k = 1 a k
MfrDB\MfrDB1565	z 3 + 2 - \sqrt z + 1 \sqrt 3
MfrDB\MfrDB1571	\sum n i = 1 i = 1 - 2 n ( n + 1 )
MfrDB\MfrDB1573	\int 0 \infty \sqrt x e - x d x = 1 - 2 \sqrt \pi
MfrDB\MfrDB1574	\int 0 \infty \sin 2 x - x 2 = \pi - 2
MfrDB\MfrDB1576	\int 0 1 x 3 - e x - 1 d x = \pi 4 - 1 5
MfrDB\MfrDB1577	\int a b f ( x ) d x = F ( b ) - F ( a )
MfrDB\MfrDB1578	\int 0 1 \sqrt x d x
MfrDB\MfrDB1579	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB1581	\int o R 2 x d x - 1 + x 2 = \log ( 1 + R 2 )
MfrDB\MfrDB1582	\int \int 0 1 0 1 x 2 y 2 d x d y
MfrDB\MfrDB1583	\int a a f ( x ) d x = 0
MfrDB\MfrDB1584	\int 0 \infty f ( x ) d x = \lim b \rightarrow \infty \int 0 b f ( x ) d x
MfrDB\MfrDB1586	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB1587	t = t 0 - 1 - v 2 - c 2 \sqrt
MfrDB\MfrDB1588	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1591	E k = 1 - 2 m 1 v 1 2 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB1593	v = v 0 t - g t 2
MfrDB\MfrDB1595	T 1 - T 2 2 2 = a 1 - a 2 3 3
MfrDB\MfrDB1596	E = E k + E p
MfrDB\MfrDB1597	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB1598	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB1599	\lim \rightarrow x 0 1 - \cos x - x = 0
MfrDB\MfrDB1600	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB1602	\lim n \rightarrow \infty n 2 + 3 n - 2 n 2 + 1 = 1 - 2
MfrDB\MfrDB1603	\lim n \rightarrow \infty n + 2 \sqrt - \sqrt n ( ) = 0
MfrDB\MfrDB1604	f ( x , y ) = x - y + x y
MfrDB\MfrDB1605	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB1608	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB1611	x 2 = y - 1
MfrDB\MfrDB1613	a + b = c 2
MfrDB\MfrDB1615	1 2 - 7 7 - 3 8 + b 7
MfrDB\MfrDB1616	\sin 3 2 \pi
MfrDB\MfrDB1617	\sin ( 3 2 \pi )
MfrDB\MfrDB1618	\cos 2 ( 3 3 \pi - 1 )
MfrDB\MfrDB1620	1 - 2 ( 1 9 x - 2 y ) x - y
MfrDB\MfrDB1621	\int 2 x d x = x 2 + C
MfrDB\MfrDB1623	( 2 - a ) ( b + a )
MfrDB\MfrDB1624	( 2 - a ) ( 3 - b ) c
MfrDB\MfrDB1625	a - b - c ( ) 4 \geq a b - 4 a
MfrDB\MfrDB1626	b + 1 2 1 \sqrt - a - 1 0 1 = f ( a , b )
MfrDB\MfrDB1627	3 1 - x ( ) \sqrt x
MfrDB\MfrDB1628	\sqrt - 1 - a 5
MfrDB\MfrDB1629	\sqrt 8 x - 5 - 3 - y
MfrDB\MfrDB1630	( 9 - a 5 ) 2 + ( 6 - b 9 ) 2
MfrDB\MfrDB1631	\lim x \rightarrow 3 x 2 = 9
MfrDB\MfrDB1632	k 2 \geq p + 3 \sqrt
MfrDB\MfrDB1633	z - 2 ( ) - ( 7 - z )
MfrDB\MfrDB1634	f ( x ) = x - 1 ( ) p . x
MfrDB\MfrDB1641	3 + 2
MfrDB\MfrDB1642	E = M C 2
MfrDB\MfrDB1651	1 - 2 + 4 = 5 - 2
MfrDB\MfrDB1657	y = x z
MfrDB\MfrDB1665	x + 1 0 = 2 0
MfrDB\MfrDB1666	\sqrt 5 5 5
MfrDB\MfrDB1667	a 1 + 2 a
MfrDB\MfrDB1668	2 5 - 3 + 1
MfrDB\MfrDB1669	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1670	V = a . b . c
MfrDB\MfrDB1671	3 2 - 1 = 8
MfrDB\MfrDB1672	x y - y x
MfrDB\MfrDB1673	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1674	1 2 - x 2
MfrDB\MfrDB1675	( 1 2 - x ) 2
MfrDB\MfrDB1676	a ( ) - 1 - 1
MfrDB\MfrDB1677	5 - x + 1 + 5 - x 2 + x
MfrDB\MfrDB1678	b - a 2 - a - b - a - 1
MfrDB\MfrDB1679	x 4 - 2 3 - ( 2 - x ) - 4
MfrDB\MfrDB1680	( y 4 - 1 ) / ( y 2 - 1 )
MfrDB\MfrDB1681	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB1682	5 0 ! . n = 4 8 !
MfrDB\MfrDB1683	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB1685	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1686	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB1687	3 x - 5 \lt - 2
MfrDB\MfrDB1688	\log 5 + \log 4 x = 2
MfrDB\MfrDB1689	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB1690	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB\MfrDB1693	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB1694	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB1695	a n = a 1 . q n - 1
MfrDB\MfrDB1696	s n = \sum k = 1 n a k
MfrDB\MfrDB1697	\sqrt 3 z 3 + 2 - \sqrt z + 1
MfrDB\MfrDB1703	\sum i = 1 n i = 1 - 2 n ( n + 1 )
MfrDB\MfrDB1705	\int 0 \infty \sqrt x e - x d x = 1 - 2 \sqrt \pi
MfrDB\MfrDB1706	\int 0 \infty \sin 2 x - x 2 d x = \pi - 2
MfrDB\MfrDB1708	\int 0 1 x 3 - e x - 1 d x = \pi 4 - 1 5
MfrDB\MfrDB1709	\int a b f ( x ) d x = F ( b ) - F ( a )
MfrDB\MfrDB1710	\int 0 1 \sqrt x d x
MfrDB\MfrDB1711	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB1712	\int \cos t d t = \sin t
MfrDB\MfrDB1713	\int 0 R 2 x d x - 1 + x 2 = \log ( 1 + R 2 )
MfrDB\MfrDB1714	\int 0 1 \int 0 1 x 2 y 2 d x d y
MfrDB\MfrDB1715	\int a a f ( x ) d x = 0
MfrDB\MfrDB1716	\int 0 \infty f ( x ) d x = \lim b \rightarrow \infty \int 0 b f ( x ) d x
MfrDB\MfrDB1718	2 x + 4
MfrDB\MfrDB1719	\int x n d x = x + 1 - + 1 + C n n
MfrDB\MfrDB1720	t = t 0 - 1 - v 2 - c 2 \sqrt
MfrDB\MfrDB1721	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1724	E k = 1 - 2 m 1 v 1 2 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB1726	v = v 0 t - g t 2
MfrDB\MfrDB1728	T 1 2 - T 2 2 = a 1 3 - a 2 3
MfrDB\MfrDB1729	E = E k + E p
MfrDB\MfrDB1730	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB1731	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB1732	\lim x \rightarrow 0 1 - \cos x - x = 0
MfrDB\MfrDB1733	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB1735	\lim n \rightarrow \infty - n 2 + 3 n 2 2 + 1 = - 1 2 n
MfrDB\MfrDB1736	\lim n \rightarrow \infty ( \sqrt n + 2 - \sqrt n ) = 0
MfrDB\MfrDB1737	f ( x , y ) = x - y + x y
MfrDB\MfrDB1738	F ( x , y , z ) = G ( x , y ) + H ( y , x )
MfrDB\MfrDB1739	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB1740	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB1741	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB1742	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB1744	\sin \pi - 4 = \cos \pi - 4 = \sqrt 2 - 2
